class,tweet,x,jarak
0,"b'""Kita orang jahat, namun tidak mencintai kejahatan. Kita mencintai orang shaleh, namun amal kita tidak sebanyak orang shaleh.""\n.\nGuru Zuhdi\n.\n@nanjunghanjuang @winda_fahitah'",465723728,"-6.95,107.56667,20km"
0,"b""mau nganalisis bentar, so aku sama temenku yang kemarin jahat sama aku udah baikan. aku mikir 'meskipun ga bisa aku lupain, tetep harus dibicarakan semuanya'. maka dari itu tadi inisiatif nelfon dia dan cerita panjang lebar""",1.22E+18,"-8.65,115.21667,20km"
0,"b'""orang jahat itu berasal dari orang bodoh""\n-dodit'",2578260565,"-7.80139,110.36444,20km"
0,"b'""Rangga, yang kamu lakukan ke saya itu jahat, anjir!"" - AADC 2 https://t.co/eK233AlRrP'",18208792,"-6.95,107.56667,20km"
0,"b""Sbnrnya hampir semua karakter di mr queen ini 'jahat' dgn caranya msg msg karena haus kekuasaan. Tp dr awal bnr bnr jijiq sm hwajin WKWKWK. Tipikal cewe sok lemah tp licik. I hate that kinda girl like f u\xf0\x9f\x99\x82 https://t.co/wiRgVZLgHL""",65639109,"-6.95,107.56667,20km"
0,"b'""seharusnya aku kehilanganmu, tak seharusnya aku merindu."" \n\naaaaaaa jahat lagunya terngiang2\xf0\x9f\x98\xad @FiersaBesari'",1.08E+18,"-6.16667,106.8,20km"
1,"b'#IKATANCINTA gue tau sih penonton  macem gue itu minoritas banget tapi bukan berati gak boleh bersuara kan? Scen terakhir tuh tujuan ya apa sih? Gak penting karena pada akhirnya yg paling nyakitin andin itu ya si aldebaran juga. Gak mau orang lain nyakitin andin, sendirinya jahat'",2193836726,"-6.16667,106.8,20km"
0,b'#np ; Badai Romantic Project - JAHAT #BursaHitsIndonesia @GPRecordsID',273771663,"3.66667,98.66667,20km"
0,"b'$KLBF jahat \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 di Hold 2 bulan lbh gk naik giliran di jual naik kenceng \xf0\x9f\x98\x85\xf0\x9f\x98\x85\xf0\x9f\x98\x85\nBeginilah Bursa, \xf0\x9f\x98\x85\xf0\x9f\x98\x85\xf0\x9f\x98\x85\nKita gk tau kapan bener2 naik \xf0\x9f\x98\x85 hanya bisa menanti dan sabar, dah lah masih ada yg lain'",1851266510,"-7.80139,110.36444,20km"
0,"b'/ter\xc2\xb7ba\xc2\xb7kar/ Sampai detik ini, saya masih belum tau bagaimana caranya memulai percakapan, meminta maaf, bilang kalau saya berlebihan memutuskan sesuatu tanpa pikir risikonya apa. Saya jahat, memutuskan tali silaturahim demi menjaga perasaan... https://t.co/cmpL5idmIp'",546812779,"-6.16667,106.8,20km"
0,b'@_okkeyy Ada yang lebih jahat dari aku ternyata',73289322,"-7.23333,112.73333,20km"
0,b'@_rzl_ JAHAT BANGET https://t.co/g34sriF7rZ',1.10E+18,"-7.80139,110.36444,20km"
1,b'@100001_00 Yuklah jadi orang jahat aja yang ga tau terimakasih ga bayar pajak mabok mabokan begal tawuran dll',2365239223,"-6.16667,106.8,20km"
0,b'@18fesss Bukannya mo jahat. Tp kalo orangnya kek kamu gitu tipe org yg udh kebaca bgt ga butuh nasihat tp pengen lepas dr ke toxic an yg ada. Kalo mau lepas ya lepas aja. Udah ga sehat lagian itu toxic begitu. Masalah ga bisa jalanin hidup paling itu namanya patah hati 1-2 bulan ilang',1.23E+18,"-6.95,107.56667,20km"
0,b'@18fesss Jahat.',7.34E+17,"-6.95,107.56667,20km"
1,"b'@18fesss kek orang gawaras aja nanya jahat ga sih, heran. tolol melebihi batas, maaf aku emosi bgt bacanya'",1.07E+18,"-6.95,107.56667,20km"
0,b'@19thdecemberr @raihanahmad1_ @dyvettecpx ahh jahat',1.19E+18,"-6.16667,106.8,20km"
0,b'@19thdecemberr @raihanahmad1_ @dyvettecpx jahat',1.19E+18,"-6.16667,106.8,20km"
0,b'@19thdecemberr @raihanahmad1_ al jahat',1.19E+18,"-6.16667,106.8,20km"
0,b'@19thdecemberr @raihanahmad1_ jahat:((',1.19E+18,"-6.16667,106.8,20km"
1,"b'@1nl4nd3r @LuisthePadawan @PSambadha @DenResched Berarti km mengamini kl orang jahat, fasik atau kafir itu keinginan manusia itu sendiri,tidak sahabatku, manusia menjadi maling bahkan sdh ditetapkan sebelum dia diciptakan'",529283237,"-7.23333,112.73333,20km"
0,b'@212ThePowerOff1 @bangagoengDua @Bella_Peter_ @ms903cte @Nurdiansyah_i8 Jadi selama ini??\nKamu jahat mas... \xf0\x9f\x98\xad\xf0\x9f\x98\xad',1.34E+18,"-6.16667,106.8,20km"
0,b'@aafiiis2 @astrobooii aku gak jahat kok :(',1.34E+18,"-8.65,115.21667,20km"
1,"b'@aaryaleovardo Orang jahat purak purak baik banyak, tapi susah dicari, aku menemukan salahsatunya kau hahahah'",410751644,"-7.80139,110.36444,20km"
0,"b'@abcdefinn Jahat bgt sumpah yg nipu"" kygini ngga habis thingking gw\xf0\x9f\x98\xad'",1.12E+18,"-7.80139,110.36444,20km"
0,b'@aburizalbakmie Kok jahat? Aku kidal lo',1.33E+18,"-6.16667,106.8,20km"
0,b'@adalahpisank Jahat',555238110,"-6.95,107.56667,20km"
1,b'@ade__2020 Walaupun ia tau konsekuensi yg akan dia hadapi. \nArtinya iblis itu tidak munafik. \nTapi bagaimana dengan manusia? \nManusia justru bisa lebih jahat dsri iblis karena terkadang ucapan tidak sesuai dg perbuatannya.',2858556635,"-2.98333,104.76444,20km"
0,b'@Adellaw_ Jahat',1.33E+18,"3.66667,98.66667,20km"
0,"b'@Adellaw_ Sesuatu yg kenyal itu jahat, apalagi yg jenis pria.'",1.25E+18,"-6.16667,106.8,20km"
0,"b'@AdhitiyaEf Iyo aku mulai oleng ng pel, padahal nge ship mede-heli. Helio lek cemburu lawucu kkkkkkkk \xf0\x9f\xa4\xa3\nTapi ojok sampe heli dadi jahat, hiks \xf0\x9f\xa5\xba'",1.08E+18,"-7.23333,112.73333,20km"
0,b'@adindatsry Jahat bangat...',1.02E+18,"-6.95,107.56667,20km"
0,b'@aditpradii Jahat',1.25E+18,"-6.16667,106.8,20km"
0,b'@adzriel_ @masbekkk @hizach @fajartujuhbelas Jahat kamu',1.12E+18,"-7.80139,110.36444,20km"
0,"b'@aewin86 Ssmoga orang2 yang jahat dan pernah bebrbuat jelek dengan kita segera dibukakan hatinya, cepat mendapat hidayah dan diberikan kesehatan\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf'",289743168,"-6.95,107.56667,20km"
0,b'@AfterLife_exe Yaallah jahat\xf0\x9f\x98\xad',1.08E+18,"-7.80139,110.36444,20km"
1,"b'@Agamajinasi Kenapa Tuhan harus mencegah kecelakaan itu, seperti yg anda mau?\nWong kecelakaan dan lain2 cara bagaimana manusia mati itu sudah kehendakNya kok..\nTuhan mengambil kembali nyawa manusia ke sisiNya dgn cara yg Dia mau,  kenapa ada yg menyebut jahat?'",405332431,"-0.50222,117.15361,20km"
1,"b'@agtwildaa wah ini seh jahat, koe ono dendam oposii dari awal wes di galak i aku'",82369651,"-7.23333,112.73333,20km"
1,b'@ahmadbprasetyo Mio jahat nomer 1',1.25E+18,"-7.80139,110.36444,20km"
1,b'@aho_no_nao Jahat mulu lo',1261641253,"-7.80139,110.36444,20km"
1,b'@aho_no_nao Menit la\xc4\xbau menit skrg jahat',1261641253,"-7.80139,110.36444,20km"
0,"b'@ahouseforcats @kochengfess Jahat banget yaAllah, kenapa dibuang sih \xf0\x9f\x98\xad'",273804054,"-7.23333,112.73333,20km"
1,b'@ailopuuu dia jahat',7.88E+17,"-6.16667,106.8,20km"
1,"b'@aipsun jahat maneh, si ari budak bageur pisan siah'",1.35E+18,"-6.16667,106.8,20km"
0,"b'@airmiineral @collegemenfess nggaklah, jahat bgt :('",7.92E+17,"-6.95,107.56667,20km"
1,b'@ajeng_cute16 Jahat bgt yah orang2 @PDI_Perjuangan \xf0\x9f\x98\xa1',1.04E+18,"-6.16667,106.8,20km"
0,b'@ajiagumprasety2 Jahat tutur kata nya munkin \xf0\x9f\x98\xad',1.17E+18,"-7.80139,110.36444,20km"
1,b'@akcantipakdiam Jahat amat ihh',3115920594,"-7.80139,110.36444,20km"
1,b'@AkuFebriant Mainnya ko gitu sih jahat bgt dia.ikut ikut cara mainnya dia boleh ga?mumpung akunya pensiunan fakgirl loh.',1.30E+18,"-7.80139,110.36444,20km"
1,"b'@akulakuID Hati2 belanja di @akulakuID kalau tidak mau seperti saya,barang tidak datang selama 1 bulan lebih,di paksa bayar cicilan denga ancaman denda dan bklis slik ojk gila nih aplikasi jahat banget,mohon kpada @ojkindonesia untuk di tindak kecurangan yng di lakukan pihak @akulakuID'",1512409808,"-6.95,107.56667,20km"
1,b'@akulucuunyu Jahat banget emng',1.34E+18,"-5.42944,105.2625,20km"
1,"b'@akuncill Aku bisa jahat, pas dilakuin mendadak saknoku keluar \xf0\x9f\x98\x82\xf0\x9f\x98\x82 gmana dong'",1.28E+18,"-7.23333,112.73333,20km"
1,b'@akunfakees kamu jahat',1.21E+18,"-6.16667,106.8,20km"
1,"b'@akunfangirling Jahat bngt ahhh,kasian Gun tau\xf0\x9f\x98\xad'",8.48E+17,"-6.16667,106.8,20km"
0,"b'@akusihnolep btul ,tapi tetep jadi orang baik walaupun orang jahat sm kota tetep jadi baik karna gasalah jd org baik'",1.12E+18,"-7.80139,110.36444,20km"
1,b'@akusihnolep yuk jd orang jahat aja aelah:(',4672835610,"-6.16667,106.8,20km"
1,b'@akuucing Dis jahat',1.01E+18,"-6.16667,106.8,20km"
1,b'@akuwanitabiasaa @PhiphiSubs Ya ampun .... Kalian TL2an berdua aja ... Colek @tutupancih @JeniusHanamichi @suami_tergoda kak @DeyangKoCiPit curiga ini mau buat kesepakatan jahat',1.28E+18,"-6.16667,106.8,20km"
1,b'@aladintea70 @onlimew @susipudjiastuti Jahat banget jarinya \xf0\x9f\x98\x91 becanda kali',2951487006,"-7.23333,112.73333,20km"
1,"b'@alexander_murfi Otak jahat, zalim..'",1.06E+18,"-7.23333,112.73333,20km"
0,"b'@allananana08 @JezeeTina @jinnieslamp Iya, dia gak jahat,, dia hanya mencoba survive dari kejamnya politik kerajaan \xf0\x9f\x98\xad\xf0\x9f\x98\xad ditambah cinta matinya sama Deokman buat dia nganggap egois dikit gak papa lah buat yang terkasih. Pokoknya aku ingat aku nangis kejer banget pas episode Bidam rela ditusuk demi ngedeketin Deokman'",1.02E+18,"0.55,123.05,20km"
1,"b'@allkpop jahat sihh ampe komen ke ig mama nya,awas aja ya klo di season 3 sejung  berubah kaku ke sehun\ngue jambak si fajar (klo gk salah sih nama ig si pea)'",578988440,"-6.16667,106.8,20km"
1,b'@allvnprtmaa_ Jahat bgt sih jdi cewek :(',1.15E+18,"0,109.33333,20km"
1,"b'@alterrrego_ Ih gila kak Gege ini jahatnya diluar nalar gue. Gue udh ngerasain ""jahat""nya Hajime Isayama, tp di SnK tuh jahatnya dia lebih ke karena nulis teror yg realistis aja. Sementara Gege ini... Setau w tokoh fav dia Nanamin \xe2\x9d\xa4 TAPI MALAH DI D-WORD???'",9.04E+17,"-6.16667,106.8,20km"
1,b'@alterrrego_ Sumpah nad sedih dunia knp banyak orang jahat ya... Kek.. yaudah.. kalo ga suka block aja... She did apologize and learn from her mistakes. Tp udah setaun lebih masih harassing trs tuh biar apa?? Sampe kapan??',497826389,"-7.80139,110.36444,20km"
0,"b'@alyaasabrina buka aja satu satu, males beneerrr\xf0\x9f\x98\x88\xf0\x9f\xa4\xaa *lagi jahat'",131359282,"-7.23333,112.73333,20km"
1,"b'@Ameeranti Saya pribadi sih nggak percaya.\nSebagai rakyat yg sudah mengalami jalannya pemerintahan 1 periode (5 tahun) dibawah Jokowi, tentu bisa membedakan antara ""TIDAK PINTAR"" dan ""LICIK"".\n\nWalau titel berderet dan diplomasi pintar, karakter LICIK dan JAHAT itu tetap tak terlihat kok..'",9.92E+17,"-6.16667,106.8,20km"
1,"b'@Americanoss__ Bangeettt, ada ada aja ya org jahat kelakuannya'",85786757,"-6.16667,106.8,20km"
0,"b'@amrakhansa boleh, ayooo jahat amiraa \nbosen baik muluu, sekali kali jahat gapapa.\nsemangatt jahatnyaa \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'",702858877,"-6.95,107.56667,20km"
1,b'@anaimaqchlv @winterphany93 Gk ko mak\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 dia yg jahat mak\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',1.25E+18,"-0.50222,117.15361,20km"
0,b'@anakb0nt0t jahat',1.17E+18,"-7.23333,112.73333,20km"
0,b'@anaknyapakjon Kudu jahat dlu brarti',1.24E+18,"-8.65,115.21667,20km"
1,b'@andihiyat Kena covid.. yg bahaya bukan covidnya.. tapi stigma tetangga.. ternyata yg jahat manusia.. bukan virusnya..',484721372,"-7.23333,112.73333,20km"
0,"b'@AndinLatte ""alkohol, kamu jahat tapi enak"". gitu maksudnya diplesetin dikit wqwq \xe2\x9c\x8c\xf0\x9f\x8f\xbb'",1.26E+18,"-7.80139,110.36444,20km"
0,b'@anduktosca @bdngfess Jahat ih nanti aku mie ningis atuh :(',1.21E+18,"-6.95,107.56667,20km"
0,b'@angewwie sumpah si softlens terang tuh emg bikin jahat bgt',1.21E+18,"-6.16667,106.8,20km"
0,b'@anggunsaraswati Memang jahat kali es ini \xf0\x9f\x98\xa1',350915521,"3.66667,98.66667,20km"
0,b'@anindira_nara Aku belom nemu sosok actrees senior yg masuk ke karakter orang kaya yg bneran classy dan intelek kaya mamros ih. Selama ini sinetron selalu menyajikan karakter orang tua yg itu2 aja kalo gak jahat yaa baik udah gak disisipin image pendukungnya. Great job tim casting',1.07E+18,"-6.16667,106.8,20km"
0,b'@annisafitrifird Hehe jahat ya kak \xf0\x9f\x98\xad',1.16E+18,"-6.95,107.56667,20km"
0,b'@annisaputrirs Jangan block akuu maniez. Aku ga jahat kok',2954763770,"-0.95556,100.36056,20km"
0,"b'@AnnisaRamadhita Saya mewakili orang jahat, dengki jahanam, mengucapkan mohon maaf juga bila selama ini minyakitimu, jangan bosen jadi orang baik\xf0\x9f\x92\xaa'",1253936658,"-7.80139,110.36444,20km"
1,"b'@annisast ...jika sulit berbuat baik, apakah lalu berbuat jahat? Jika sulit jualan, apakah lalu mencuri saja? \xf0\x9f\x99\x82'",332538447,"-6.96667,110.41667,20km"
1,b'@annzeerf @hrdbacot Jahat sih ini',1322390672,"-6.16667,106.8,20km"
1,b'@annzeerf @hrdbacot Kokk jahat yaaa manusia2 ituuuu \xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7',366582360,"-6.16667,106.8,20km"
1,b'@anwar_11s @eMbahNyutz jahat kali kauuu',1.09E+18,"-6.12,106.15028,20km"
0,"b'@aof_disini Kerajaan Tak Lagi Sama,, Pulbasari Dan Lutung Kasarung Datang,, Semua Mereka Bebaskan Dari Kutukan,, Kebaikan Bersatu, Kekuatan Jahat Bisa Dikalahkan,, Pulbarang Jadi Anak Baik Lagi,, Semua Pun Berbahagia,, Paling Meriah Saat Lebaran,, MARJAN :)'",1.25E+18,"-5.13333,119.43111,20km"
1,b'@aotfess jahat bgt',943471465,"-7.80139,110.36444,20km"
1,b'@apeep__ Kui kan jahat ok ancen \xf0\x9f\x98\x92',1.23E+18,"-7.80139,110.36444,20km"
1,b'@apeep__ Nek karo aku ok jahat poll \xf0\x9f\xa4\xa3',1.23E+18,"-7.80139,110.36444,20km"
1,b'@Aqilla_1999 Lemak jahat',1.35E+18,"-5.13333,119.43111,20km"
1,b'@arcphrodite Jahat banget :((',1.15E+18,"-6.16667,106.8,20km"
0,b'@AREAJULID maaf mbak aku tau ini jahat tetapi kejadian ini membuatku tertawa \xf0\x9f\x98\x82\xf0\x9f\x98\xad\xf0\x9f\x98\xad',7.19E+17,"-6.16667,106.8,20km"
1,"b'@AREAJULID teruntuk laki-lakinya, beneran deh kamu jahat banget, makanya kamu diketemuin sama perempuan yang sama jahatnya. Jadi ya, kalian cocok bareng-bareng, laki-laki jahat sama perempuan jahat. Teruntuk mba yang ditinggalin sama laki-laki jahat itu, kamu kuat mba \xf0\x9f\x92\xaa'",313661744,"-6.95,107.56667,20km"
1,b'@AREAJULID Wkwkwk pacar nya di ambil orang\xf0\x9f\xa4\xa3\nJahat banget tuh cowo dah ambil pacar orang',1.07E+18,"-6.16667,106.8,20km"
1,b'@ari_ariayam jahat',425646671,"-6.95,107.56667,20km"
1,b'@ariefdots jahat',1.19E+18,"-6.95,107.56667,20km"
1,"b'@AriniKhusnaa Astaghfirullah.. si ibunya kasar bgt ya, pake sumpah serapah,ngatain Arie jahat, kt temen ku Arie keriting itu baik bgt orgnya'",227693544,"-6.16667,106.8,20km"
1,"b'@Askrlfess Ga gimana2, tiap orgkan beda2 pinternya, klo malu berasa jahat bgt deh kaya udah paling iye aja'",1261641253,"-7.80139,110.36444,20km"
0,b'@Askrlfess Ga gue bales\xf0\x9f\x98\xad jahat bgt gw astaga',2445175860,"-7.23333,112.73333,20km"
1,"b'@astriferdiana @finatams wah, jahat dan tidak berperikemanusiaan itu yang membully.'",415268057,"-7.80139,110.36444,20km"
0,b'@asyaauuu kalo di aamiinin jahat ga saa:(',1.19E+18,"-6.95,107.56667,20km"
0,"b'@athabum hati2 ya bund, cuaca lagi jahat utk kesehatan \xf0\x9f\xa5\xba'",82601210,"-7.23333,112.73333,20km"
0,b'@awwtasyaa Kuman baik apa kuman jahat',1.16E+18,"-6.95,107.56667,20km"
0,b'@ayamanja_ Mantan ku gak ada yang jahat kak.',93120521,"-6.16667,106.8,20km"
1,b'@aybptr_ Untung jahat aku tu',7.92E+17,"-7.80139,110.36444,20km"
0,"b'@azzprynk_ Maksudnya yang keliatannya jahat belum tentu jahat, dan sebaliknya juga yang kelihatanya baik belum tentu baik.'",162346968,"-6.16667,106.8,20km"
1,b'@badboykan Hahaha...jahat u!\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',1.24E+18,"-6.16667,106.8,20km"
1,b'@baddieexgirl mimik jahat',1.19E+18,"-7.23333,112.73333,20km"
0,"b'@badoooooot @0281_bobotoh Manusia pada dasarnya baik juga jahat a,  lebih tepatnya. Haha'",1.07E+18,"-6.95,107.56667,20km"
1,b'@baekyeolpups @hbblii Kesel bgt sama SM gk bisa teges sama sasaeng &amp; org jahat lainnya ke exo \xf0\x9f\x99\x81 gk inget apa klo exo yg bikin gedung SM jd gede kek sekarang \xf0\x9f\x98\x8f',1.29E+18,"-7.23333,112.73333,20km"
1,b'@baguspribadi69 Yang ngelike jahat \xf0\x9f\x98\x86',565913238,"-7.80139,110.36444,20km"
0,b'@bagusrivaldi @jawafess jahat bgt aku disimpen di dapur\xf0\x9f\x98\x94',510010535,"-6.95,107.56667,20km"
0,b'@BagusWild_ Eren tuh baik atau jahat sih? \xf0\x9f\xa4\x94\xf0\x9f\x99\x84',8.52E+17,"-6.16667,106.8,20km"
1,"b'@bahterasegara Pasar jahat yaa ketek yg cantik juga yg gada bulu dan ga berpori haha, pdhl yg sehat dibiarkan tumbuh dengan wajar untuk menjaga lembab dan kotoran.'",65028586,"-6.95,107.56667,20km"
0,"b'@bakasenchou sama. pas tau dia TXJ terus mati di chap pertama, langsung nebak klo dia tuh problematik dan tipe2 seme nyesel. gue kira CWN yang jahat, LOL'",1.29E+18,"-3.33333,114.58333,20km"
0,"b'@bakohyusron_ @Nats_cloud Apek sing ke 2, sing ke 1 dadi koyo jahat :V'",352811436,"-6.16667,106.8,20km"
1,"b'@Bandungfess bingung harus ungkapin apa, tp aku kecewa harus ngeliat orang sebaik kamu bisa ngelakuin hal jahat kaya gitu:('",1.19E+18,"-6.95,107.56667,20km"
1,"b'@banumelody Jahat sih orang2 kaya gini. Ga liat dulu, meskipun cowo juga tetep aja bikin kaget pasti'",204319870,"-6.16667,106.8,20km"
1,b'@bapaugosong kamu jahat',1.21E+18,"-6.95,107.56667,20km"
1,"b'@bapaugosong tadi sama kuntik, sekarang sama tembok, emng bener jahat'",1.21E+18,"-6.95,107.56667,20km"
1,b'@barc3el @frandy_ku @Fakultas_dukun @jokowi @DivHumas_Polri Klo nyebar hoax itu bahaya om.. Efek nya jahat.. Memecah belah',1.27E+18,"-6.95,107.56667,20km"
1,b'@bawazirs_ @hajahsolimi @darahputihanget @sopoakuhayooo @infotwitwor_ Lho lho kamu kok jahat.',625445107,"-7.80139,110.36444,20km"
1,b'@bayjingan jleb. jahat ih :(',1798792976,"-6.95,107.56667,20km"
1,"b'@bayshivan jahat banget emang :""'",1.19E+18,"-6.96667,110.41667,20km"
1,"b'@bayu_joo Ada yang kaya gue gasih, kalau  mau bales orang yg jahat ama kita, tapi mikir ngapain juga dibales. Tapi dongkol, dan berujung *oh yaudah cukup tau aja*? \xf0\x9f\x98\x94'",538920752,"-7.80139,110.36444,20km"
1,b'@bbhlusc jahat bgt anjir kenapa sih\xf0\x9f\x98\xad',1.00E+18,"-6.95,107.56667,20km"
1,b'@bbshabi Jahat banget',1.09E+18,"-6.95,107.56667,20km"
1,b'@bdgfess Anying jahat sia nyepil baturan. Tapi alus talapung we nu kitu.',548244803,"-6.16667,106.8,20km"
0,b'@bdngfess Engga jahat kok.',1.17E+18,"-7.80139,110.36444,20km"
1,b'@bdngfess Ih ai kami ni jahat',1.27E+18,"-6.95,107.56667,20km"
1,b'@bdngfess Jahat banget kamu nder',1.14E+18,"-6.95,107.56667,20km"
0,b'@bdngfess sama siapa aja asal bukan org jahat:(',1.19E+18,"-6.95,107.56667,20km"
1,b'@bdngfess Sia jahat',1164633516,"-6.95,107.56667,20km"
1,b'@beanbryantt jahat dong',1.31E+18,"-7.23333,112.73333,20km"
1,"b'@bekasibase fix lo jahat, kalo pacar lo tau pasti dia sedih bangettttt, walaupun kalian bilangnya hanya temenan. tapi kalian tuh teman tapi mesra sih jatohnya'",1.24E+18,"-6.16667,106.8,20km"
1,"b'@bekasibase ngejauh sm yg mana? kok bisa2 nya si jadiin org lain pelampiasan :), jahat banget asli giliran digituin sm cowo bilang nya semua cowo sama aja, hdehh mba gausa kaget ya nanti ternyata kamu juga opsi nya dia'",1.27E+18,"-6.16667,106.8,20km"
0,"b'@belossom Jahat sih engga, mungkin harapan ku terlalu tinggi wkwk yu mutualan'",8.64E+17,"-6.95,107.56667,20km"
1,b'@belowtheskye Tangan kiri gue lg retak lo suruh push up jahat amat\xf0\x9f\x98\x94',1.17E+18,"-6.16667,106.8,20km"
1,b'@Bengkeltanah2 @_MbakSri_ Aneh ya mobil polisi ditungguin...mau apa ?...niat jahat ??? Support polisi berantas kejahatan ...bravo TNI DAN POLRI',156224231,"-6.95,107.56667,20km"
0,b'@berjalankekiri gaole jahat',1.15E+18,"-7.23333,112.73333,20km"
1,b'@BERKARYA_NET jaman soeharto gaji pns dipotong tiap bulan utk iuran golkar.pas masa kampanye wajib ikut kampanye.kl enggak..ngalamat dibuang jauh ke pedalaman..jahat',8.20E+17,"-6.96667,110.41667,20km"
1,b'@bersoreria @dittameliaa hiks jahat emng',1.17E+18,"-7.80139,110.36444,20km"
0,b'@bettyeehaw jahat banget wkwk',1.25E+18,"-6.16667,106.8,20km"
1,b'@beyisnotbey Jahat kamu tu beeyy',1.16E+18,"-7.23333,112.73333,20km"
1,b'@bhismaaa10 bhis ah ilah \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\x9e\xf0\x9f\x98\xb6\xf0\x9f\x98\xa4\xf0\x9f\x98\xa0 jahat bgt tuh orng bisa2nya dapet info yg gak bagus \xf0\x9f\x98\xa2',7.19E+17,"-6.16667,106.8,20km"
0,b'@biasfess yang nggak jahat',1.31E+18,"-7.23333,112.73333,20km"
